tool,category,lines_pct,commits_pct,prs_pct,releases_pct
Claude Code,Agente interativo,981.2,199.2,145.5,29.2
OpenAI Codex (interativo),Agente interativo,792.6,94.3,61.8,0.2
GitHub Copilot,Agente interativo,470.9,42.7,21.4,1.3
GitHub Agent,Agente autônomo,879.3,41.9,66.6,
OpenAI Codex (autônomo),Agente autônomo,549.8,31.0,80.0,
