year,title,worldwide_gross_usd,budget_usd,rt_score,era,director,batman_actor,supporting_cast
1989,Batman,411000000,35000000,72,Burton,Tim Burton,Michael Keaton,Jack Nicholson; Kim Basinger
1992,Batman Returns,266800000,80000000,80,Burton,Tim Burton,Michael Keaton,Danny DeVito; Michelle Pfeiffer
1995,Batman Forever,336500000,100000000,41,Schumacher,Joel Schumacher,Val Kilmer,Jim Carrey; Tommy Lee Jones; Nicole Kidman
1997,Batman & Robin,238000000,125000000,12,Schumacher,Joel Schumacher,George Clooney,Arnold Schwarzenegger; Uma Thurman; Chris O'Donnell
2005,Batman Begins,372710015,150000000,84,Nolan,Christopher Nolan,Christian Bale,Liam Neeson; Michael Caine; Cillian Murphy
2008,The Dark Knight,1004558444,185000000,94,Nolan,Christopher Nolan,Christian Bale,Heath Ledger; Aaron Eckhart; Gary Oldman
2012,The Dark Knight Rises,1081041287,250000000,87,Nolan,Christopher Nolan,Christian Bale,Tom Hardy; Anne Hathaway; Michael Caine
2022,The Batman,772800000,185000000,85,Reeves,Matt Reeves,Robert Pattinson,Zoë Kravitz; Paul Dano; Colin Farrell
