year,title,medium,note
1939,Detective Comics #27,Quadrinho,Estreia de Batman — criado por Bob Kane e Bill Finger
1943,Batman (seriado),Cinema,Primeira aparição nas telas — seriado de 15 capítulos da Columbia Pictures
1966,Batman (série de TV),TV,Versão camp com Adam West — populariza o personagem pro público de massa
1989,Batman,Cinema,Primeiro filme moderno (Tim Burton) — início da era blockbuster
2005,Batman Begins,Cinema,Reboot sério (Christopher Nolan) — depois do quase-cancelamento de 1997
2022,The Batman,Cinema,Era atual (Matt Reeves) — 83 anos depois da estreia em quadrinhos
