metric,year,value_low,value_high,unit,source,note
data_center_electricity_twh,2025,485,485,TWh,IEA - Key Questions on Energy and AI (abr/2026),Consumo global de data centers - Base Case
data_center_electricity_twh,2030,950,950,TWh,IEA - Key Questions on Energy and AI (abr/2026),Projecao Base Case - aprox 3% da eletricidade mundial
ai_share_of_datacenter_demand_pct,2024,15,15,%,IEA - Key Questions on Energy and AI (abr/2026),IA como percentual da demanda eletrica de data centers
datacenter_co2_share_global_pct,2024,0.5,0.5,%,IEA - Key Questions on Energy and AI (abr/2026),Emissoes de data centers como percentual do CO2 global
datacenter_co2_share_global_pct,2035,2,2,%,IEA - Key Questions on Energy and AI (abr/2026),Projecao
datacenter_co2_emissions_mt,2035,350,350,milhoes de toneladas,IEA - Key Questions on Energy and AI (abr/2026),Projecao - dobra em relacao a hoje
ai_water_footprint_billion_liters,2025,312.5,764.6,bilhoes de litros,IEA / ScienceDirect (carbon and water footprints of data centers),Faixa de incerteza - estimativa de modelo
ai_servers_us_electricity_twh,2024,53,76,TWh,Carbon Brief - AI five charts on data-centre energy use,Faixa de incerteza - servidores de IA nos EUA
ai_servers_us_electricity_twh,2028,165,326,TWh,Carbon Brief - AI five charts on data-centre energy use,Projecao - faixa de incerteza
