vendor,count
OpenAI (GPT),13884
Anthropic (Claude),7063
Google (Gemini),6912
DeepSeek,4392
Meta (Llama),2941
xAI (Grok),1839
Mistral AI,1712
Perplexity,1250
Alibaba (Qwen),864
Microsoft (Phi),833
Amazon (Titan),283
Cohere,139
Reka,57
